Filename	Segment	WC	Analytic	Clout	Authentic	Tone	WPS	Sixltr	Dic	function	pronoun	ppron	i	we	you	shehe	they	ipron	article	prep	auxverb	adverb	conj	negate	verb	adj	compare	interrog	number	quant	affect	posemo	negemo	anx	anger	sad	social	family	friend	female	male	cogproc	insight	cause	discrep	tentat	certain	differ	percept	see	hear	feel	bio	body	health	sexual	ingest	drives	affiliation	achieve	power	reward	risk	focuspast	focuspresent	focusfuture	relativ	motion	space	time	work	leisure	home	money	relig	death	informal	swear	netspeak	assent	nonflu	filler	AllPunc	Period	Comma	Colon	SemiC	QMark	Exclam	Dash	Quote	Apostro	Parenth	OtherP
"Alesso, Forever, Heroes (We Could Be).txt"	1	222	1.09	99	17.17	99	222	6.76	99.55	70.72	29.28	24.32	5.86	12.61	4.05	0	1.8	4.95	4.95	4.95	22.97	2.25	6.31	1.8	29.73	2.7	0.9	0.9	0.9	0.9	8.56	8.11	0.45	0	0	0.45	22.97	0	0	0	0	17.12	1.8	0.45	8.11	1.35	2.7	2.7	5.41	4.05	0.9	0.9	2.25	0.45	0	0	0	17.12	14.41	0.45	0.45	1.35	0.45	1.35	22.07	0	13.06	1.35	7.21	4.5	0	0	0	0	0	0	0	0	0	0	0	0	8.56	0	4.95	0	0	0	0	0	0	3.6	0	0
"Ariana Grande, My Everything (Deluxe), One Last Time.txt"	1	396	4.89	53.03	91.64	54.29	198	6.06	98.99	60.86	32.58	25.25	15.91	0	8.08	1.26	0	7.32	3.28	8.08	10.35	2.27	6.06	3.79	25.25	3.28	3.03	1.77	4.29	2.53	5.05	3.28	1.77	0	1.01	0.51	16.41	1.01	0.25	1.26	0.51	17.17	4.8	1.26	4.55	1.01	3.03	4.04	0.51	0	0	0.51	2.27	2.27	0	0	0	5.56	0	0.76	1.26	3.79	1.01	4.29	18.18	1.52	10.35	1.26	3.79	5.81	0.51	0	1.77	0.51	0	0	0.76	0	0	0.51	0	0	13.38	0	7.07	0	0	0.25	0	0	0	6.06	0	0
"Ariana Grande, My Everything (Deluxe), Only 1.txt"	1	332	1	50	67.92	92.75	55.33	2.71	95.48	65.96	28.31	22.89	13.25	0.3	9.34	0	0	5.42	1.51	8.43	10.84	10.54	8.43	7.53	21.39	6.02	5.12	2.71	5.72	1.81	5.42	4.82	0.6	0	0.6	0	15.96	0.6	0	0	0	19.28	2.11	3.61	3.31	2.71	3.01	4.82	2.11	1.51	0	0.6	2.71	0.3	0.6	0	0	7.83	3.31	1.51	0.9	3.61	0	2.41	19.58	0	6.93	0	2.41	4.52	0.3	0.3	0	0	0	0	0.9	0	0	0	0.9	0	15.36	0	4.52	0	0	1.51	0	0	0	9.34	0	0
"Avicii, Stories, Touch Me.txt"	1	322	1.89	92.77	62.93	42.69	322	1.55	99.38	67.7	40.37	37.89	20.81	0	17.08	0	0	2.48	1.24	10.87	12.73	4.66	2.17	1.86	28.88	0.62	4.04	3.73	0.62	0	2.17	1.55	0.62	0	0	0.62	20.81	0.93	0	0	0	12.11	0.62	3.73	7.14	0	0	0.62	9.63	0	0.93	8.7	3.11	1.24	1.24	0	0.62	1.24	0	0	1.24	0	0	0.93	25.16	5.9	8.07	4.97	0.62	2.48	0	0	0	0	0	0	7.14	0	4.35	0	1.24	0	11.49	0	6.83	0	0	0	0	0	0	4.66	0	0
"Avicii, Stories, Waiting For Love.txt"	1	203	64.57	40.27	94.39	94.13	203	17.24	94.58	52.22	11.82	8.37	6.4	1.97	0	0	0	3.45	5.91	17.24	13.3	5.91	4.43	2.96	27.59	2.96	0.99	0.99	0.49	1.97	11.33	7.88	3.45	0.49	0.49	1.48	6.9	0	0	0	0	7.88	0.49	0.49	1.97	3.94	1.97	1.97	2.96	0.99	0	1.97	7.88	1.48	1.48	0	0	11.33	7.88	2.46	1.48	0.49	0	4.93	15.27	4.43	23.65	2.96	8.87	11.82	0	0.99	0	0	1.48	0	0	0	0	0	0	0	12.81	0	4.43	0	0	0	0	0	0	8.37	0	0
"BeyoncÌ©, BeyoncÌ© (Platinum Edition), 711.txt"	1	566	69.78	51.41	99	35	566	6.54	85.51	49.82	24.38	15.55	10.25	0	5.12	0.18	0	8.83	3.36	17.31	4.59	1.77	1.94	1.24	9.89	1.41	3.18	0	2.12	0.35	1.59	1.06	0.53	0	0.35	0	7.42	0	0	0.71	1.59	3.89	1.77	0.18	0.18	0.53	0.71	0.53	8.66	0.35	3	5.12	9.36	7.95	1.41	0	1.41	5.48	0	0	5.48	0	0	0	9.19	0.71	23.85	3.71	18.02	2.12	0	1.59	0	0	0	0	1.41	0.18	0.53	0.53	0	0	21.02	0	11.48	0	0	0	0	0.18	0	9.36	0	0
"BeyoncÌ©, BeyoncÌ© (Platinum Edition), No Angel.txt"	1	290	1.8	41.81	91.69	12.16	290	7.59	98.62	61.38	23.45	18.97	8.28	0	10.69	0	0	4.48	3.79	7.59	11.03	5.52	5.52	15.86	22.07	6.9	4.83	2.76	0.34	4.48	3.79	1.38	2.41	0.34	0.34	0	18.62	4.14	0	0.69	0	20.69	4.48	3.45	3.79	2.76	0.34	7.24	0.34	0.34	0	0	2.41	2.07	0	0	0	3.1	0.34	0.69	0	0.34	1.72	1.72	16.55	0.34	13.1	5.17	6.55	2.41	0	0	0.34	0.34	3.45	0	0.34	0	0	0.34	0	0	23.79	0	13.79	0	0	0	0	0.34	0	9.66	0	0
"Big Sean, Dark Sky Paradise (Deluxe), I Don't Fuck With You.txt"	1	921	22.08	8.75	79.53	1	307	6.51	91.64	58.2	26.38	19.87	11.94	0.11	6.95	0.76	0.11	6.51	7.17	10.86	9.99	3.47	3.58	5.86	21.93	5.97	1.3	0.98	1.19	0.87	11.62	1.85	9.77	0	9.01	0.22	12.16	0	0.11	0.98	0.33	10.64	1.19	1.09	1.3	3.69	0.87	4.78	1.52	0.43	0.43	0.65	7.71	2.28	0.22	4.89	0.33	5.75	0.33	0.87	2.39	2.5	0.54	2.71	18.35	1.09	10.1	1.09	6.41	2.5	0.33	0.76	0.11	1.09	0.33	0.22	11.51	10.21	0.76	0.87	0	0	17.81	0	5.65	0.11	0	0.22	0	0	0.22	11.62	0	0
"Big Sean, Dark Sky Paradise (Deluxe), Platinum And Wood.txt"	1	372	62.27	18.75	85.77	3.16	186	10.22	84.95	50.27	16.13	9.41	6.45	1.08	0.81	0.27	0.81	6.72	7.26	12.37	8.06	4.03	5.91	1.61	15.59	4.03	2.69	2.15	1.88	0.81	6.18	1.88	4.3	0	3.49	0.54	6.72	0.27	0.54	0.27	1.08	7.53	1.08	1.08	1.34	0.27	1.61	2.69	1.88	0.81	0.54	0.27	5.91	3.49	0.27	1.61	0.81	7.8	1.61	1.08	2.69	2.15	1.08	4.03	8.33	0.27	18.82	2.69	10.48	6.45	0.81	1.08	0.54	1.88	0.54	0.27	6.99	6.72	0.27	0	0	0	14.52	0	6.99	0	0	0.54	0	1.34	1.61	4.03	0	0
"Calvin Harris, Motion, Ecstasy.txt"	1	127	83.1	89.6	86.29	99	127	9.45	93.7	66.93	16.54	13.39	4.72	6.3	2.36	0	0	3.15	9.45	20.47	6.3	7.87	5.51	0.79	16.54	0.79	0	0	0	0	7.09	7.09	0	0	0	0	11.02	0	0	0	0	9.45	3.15	2.36	0	0	2.36	1.57	5.51	3.94	0.79	0.79	2.36	0.79	0.79	0	0	8.66	7.09	0.79	0.79	0.79	0	2.36	14.17	0	18.11	1.57	12.6	3.94	0.79	0	0	0	0.79	0	0	0	0	0	0	0	4.72	0	0.79	0	0	0	0	0	0	3.94	0	0
