Artist,Song,Album,Popular
Alesso,Heroes (we could be),Forever,1
Alesso,Immortale,Forever,0
Ariana Grande,One Last Time,My Everything (Deluxe),1
Ariana Grande,Only 1,My Everything (Deluxe),0
Avicii,Waiting For Love,Stories,1
Avicii,Touch Me,Stories,0
Beyonc_,711,Beyonce (Platinum Edition),1
Beyonc_,No Angel,Beyonce (Platinum Edition),0
Big Sean,I Don't Fuck With You,Dark Sky Paradise (Deluxe),1
Big Sean,Platinum And Wood,Dark Sky Paradise (Deluxe),0
Calvin Harris,Outside,Motion,1
Calvin Harris,Ecstasy,Motion,0
Carly Rae Jepsen,I Really Like You,E-mo-tion (Deluxe),1
Carly Rae Jepsen,Black Heart,E-mo-tion (Deluxe),0
Charlie Puth,Marvin Gaye (feat. Meghan Trainor),Nine Track Mind,1
Charlie Puth,As You Are (feat. Shy Carter),Nine Track Mind,0
Chris Brown,Ayo,Fan Of A Fan The Album (Deluxe Version),1
Chris Brown,It's Yo Shit,Fan Of A Fan The Album (Deluxe Version),0
Clean Bandit,Rather Be (feat. Jess Glynne),New Eyes,1
Clean Bandit,Up Again (feat. Rae Morris),New Eyes,0
Coldplay,A Sky Full of Stars,Ghost Stories,1
Coldplay,Oceans,Ghost Stories,0
David Guetta,Hey Mama (feat. Nicki Minaj & Afrojack),Listen,1
David Guetta,Dangerous (feat. Sam Martin),Listen,0
Demi Lovato,Cool for the Summer,Confident (Deluxe Edition),1
Demi Lovato,Cool For The Summer - Suraci Remix,Confident (Deluxe Edition),0
Drake,Hotline Bling,Views,1
Drake,Summers Over Interlude,Views,0
Echosmith,Cool Kids,Talking Dreams (Deluxe Version),1
Echosmith,We're Not Alone - Bonus Track,Talking Dreams (Deluxe Version),0
Ed Sheeran,Thinking Out Loud,X (Deluxe Edition),1
Ed Sheeran,Shirtsleeves,X (Deluxe Edition),0
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Delirium (Deluxe),1
Ellie Goulding,Heal,Delirium (Deluxe),0
Fall Out Boy,Centuries,American Beauty American Psycho,1
Fall Out Boy,Favorite Record,American Beauty American Psycho,0
Fetty Wap,Trap Queen,Fetty Wap (Deluxe),1
Fetty Wap,Whateva (feat.Monty),Fetty Wap (Deluxe),0
Fifth Harmony,Worth It,Reflection,1
Fifth Harmony,Body Rock,Reflection,0
Flo Rida,GDFR (feat. Sage The Gemini & Lookas),My House,1
Flo Rida,That's What I Like (feat. Fitz),My House,0
Galantis,Runaway (U & I),Pharmacy,1
Galantis,Kill 'Em With The Love,Pharmacy,0
George Ezra,Budapest,Wanted On Voyage,1
George Ezra,It's Just My Skin,Wanted On Voyage,0
Hozier,Take Me To Church,Hozier,1
Hozier,Foreigner's God,Hozier,0
Imagine Dragons,Radioactive,Night Visions (Deluxe),1
Imagine Dragons,I Don't Mind,Night Visions (Deluxe),0
James Bay,Hold Back The River,Chaos And The Calm (Deluxe Edition),1
James Bay,Need The Sun To Break - The Dark Of The Morning Version,Chaos And The Calm (Deluxe Edition),0
Jason Derulo,Want To Want Me,Everything Is 4,1
Jason Derulo,X2CU,Everything Is 4,0
Jess Glynne,Hold My Hand,I Cry When I Laugh,1
Jess Glynne,Saddest Vanilla (feat. Emelis Sand_),I Cry When I Laugh,0
Jessie J,Bang Bang,Sweet Talker (Deluxe Version),1
Jessie J,Your Loss I'm Found,Sweet Talker (Deluxe Version),0
John Legend,All Of Me,Love In The Future (Special Edition),1
John Legend,Ordinary People - Live,Love In The Future (Special Edition),0
Justin Bieber,What Do You Mean?,Purpose (Deluxe),1
Justin Bieber,All In It,Purpose (Deluxe),0
Kygo,Firestone,Cloud Nine,1
Kygo,Not Alone,Cloud Nine,0
